Method,Resolution,ResValue,Test Set,Precision,Recall,mAP@0.5,mAP@0.5:0.95
Interpolation,64x64,64,Synthetic,0.174337840864073,0.1616284332000818,0.1120376214984736,0.032676908275085
Interpolation,128x128,128,Synthetic,0.376849006047139,0.1846115542743958,0.1391457825132246,0.039731197433577
Interpolation,256x256,256,Synthetic,0.5531482293401805,0.217314086417985,0.1881642476970017,0.0685461108014365
Interpolation,320x320,320,Synthetic,0.4532595948557083,0.2346623198794555,0.1953411828276091,0.0662957977670659
Interpolation,64x64,64,Native,0.0609102316882659,0.0556305081797767,0.0224701507598281,0.0060309291035829
Interpolation,128x128,128,Native,0.1556562469675461,0.11960861631131,0.0478350746759923,0.0105097214898271
Interpolation,256x256,256,Native,0.1670649912144498,0.1478729603729603,0.0962818440820222,0.0275466371115574
Interpolation,320x320,320,Native,0.1559119230423117,0.1345023765599955,0.0867915863350277,0.0249202916519726
Swin2SR,64x64,64,Synthetic,0.5251862197682716,0.1563338433523333,0.1138859932864022,0.0304468096621491
Swin2SR,128x128,128,Synthetic,0.3950286012715217,0.1805164211751269,0.164956927946119,0.0459211119967151
Swin2SR,256x256,256,Synthetic,0.8190454512331892,0.1949254542804505,0.1652983396644553,0.0564781334873751
Swin2SR,320x320,320,Synthetic,0.3765675063762211,0.2620630061809333,0.2331419206028468,0.0712984858546632
Swin2SR,64x64,64,Native,0.0028087568414244,0.0229739764601089,0.0031922588703915,0.0009491731168054
Swin2SR,128x128,128,Native,0.0143118426276106,0.0857658007118715,0.0129390279805358,0.0032570054528376
Swin2SR,256x256,256,Native,0.0336022410956271,0.1820196468846213,0.0265802139605034,0.0076713109699622
Swin2SR,320x320,320,Native,0.1556734674420108,0.1997460325606866,0.1032009989580523,0.0376800277726546
Real-ESRGAN,64x64,64,Synthetic,0.2035537580516485,0.1679732713560059,0.1544125020669176,0.038146777692811
Real-ESRGAN,128x128,128,Synthetic,0.2052414544045372,0.1997507820889947,0.1647242665882466,0.0444647656599415
Real-ESRGAN,256x256,256,Synthetic,0.5377442844928565,0.2019365457346967,0.2112545951282743,0.0697416825054231
Real-ESRGAN,320x320,320,Synthetic,0.2886365820899738,0.1787795922940761,0.1853798675426256,0.0638265076706673
Real-ESRGAN,64x64,64,Native,0.0238242935683824,0.0210317738245319,0.0066297936214811,0.0018036596027778
Real-ESRGAN,128x128,128,Native,0.1428167236441798,0.1355020340070275,0.0830002121251801,0.020861937812045
Real-ESRGAN,256x256,256,Native,0.471502372032978,0.1810435006698489,0.1428452277384775,0.0456284869399866
Real-ESRGAN,320x320,320,Native,0.1379395108516153,0.1495628472708595,0.0935005451253119,0.029968791916093
Real-ESRGAN (Native-SR),native→SR,640,Synthetic,0.4534429343831022,0.190222346415264,0.1833659329475342,0.0562109769094166
Real-ESRGAN (Native-SR),native→SR,640,Native,0.4273613187593999,0.1961242146618424,0.1745857275257032,0.0582521646801432
Swin2SR (Native-SR),native→SR,640,Synthetic,0.3607807582085334,0.2056373734664222,0.1726385072238372,0.0592468230259413
Swin2SR (Native-SR),native→SR,640,Native,0.3354704096348804,0.1127313882286591,0.0744350394559085,0.0181539722613797
